message,compound,neg,neu,pos
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.0,0.0,1.0,0.0
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.7717,0.0,0.539,0.461
"Hello,

We've noticed that some of your account information appears to be missing or incorrect, we need to verify your account information in order to continue using your Apple ID.

Please Verify your account information by clicking on the link below. Sign in using your Apple ID to start the process, Verify Now >.

Wondering why you got this email?

When you don't regularly update your Apple ID information, Apple will require you to sign in by following the link in a verification email and update your information.
This is to help protect your identity and keep your account secure.

Apple Support",0.4019,0.0,0.27,0.73
"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",0.8555,0.0,0.706,0.294
"We detected unknown IP access on our date base computer system our security requires you to verify your account for secure security kindly Click Here and verify your account. 
ÛÜ
Help DeskÛÜ",0.4019,0.0,0.426,0.574
You have a pending incoming download docs shared with you via Google docs,0.34,0.0,0.821,0.179
"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.",0.7184,0.0,0.864,0.136
"I need all our employee's reference copies of 2015 W-2 wages and tax
statement, i am working on a review and if you can work on the W2's and
have it sent to me as an attachment this morning that will be
splendid. Via email would be appropriate.",0.0,0.0,1.0,0.0
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3818,0.0,0.698,0.302
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",-0.2732,0.13,0.87,0.0
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3182,0.0,0.753,0.247
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.3612,0.0,0.444,0.556
"Dear User

Your Itunes-ID has been disabled .
You've place your account under the risk of termination by not keeping the correct informations .
Please verify your account as soon as possible.
Ready to check ?
Click here to get back your account.",0.0,0.0,1.0,0.0
"Your password will expire in 2 days, Click Here
to re-change your password immediately.",0.0,0.0,1.0,0.0
Password will expire in 2 days ÊClick HereÊTo Validate E-mail,0.3612,0.0,0.762,0.238
"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ",0.2023,0.0,0.893,0.107
"This is an urgent request to update your employment record at the U.S Department of Labor.

Update ",0.0,0.0,1.0,0.0
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.4404,0.0,0.881,0.119
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.0,0.0,1.0,0.0
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.4939,0.118,0.538,0.344
"As we prepare to start the 2016 Tax filling season, we have undergone slight changes in the filling process to make filling for your refund easier and to prevent unnecessary delays.
Part of the changes include updating our database with your information.
Please ensure to carefully complete this verification to avoid hitches in processing your refund.
We have sent you an attachment, open it and follow the steps to verify your profile.",0.296,0.0,0.872,0.128
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.0,0.0,1.0,0.0
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.0772,0.0,0.958,0.042
"Your parcel (shipping document) arrived at the post office. Here is your Shipping Document/Invoice and copy of DHL receipt for your tracking which includes the bill of lading and DHL tracking number, the new Import/Export policy supplied by DHL Express. Please kindly check the attached to confirm accordingly if your address is correct, before we submit to our outlet office for dispatch to your destination.",0.6705,0.0,0.807,0.193
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3818,0.0,0.867,0.133
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.0,0.0,1.0,0.0
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.5267,0.0,0.577,0.423
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3612,0.0,0.8,0.2
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.3182,0.078,0.778,0.144
"Dear: Account Owner,

Our records indicate that you are enrolled in the University of California paperless W2 Program. As a result, you do not receive a paper W2 but instead receive e-mail notification that your online W2 (i.e. ""paperless W2"") is prepared and ready for viewing. __

Your W2 is ready for viewing under Employee Self Service. Logon at the following link:

Click Here to Logon

If you have trouble logging in to Employee Self Service at the link above, please contact your Payroll Department for support.

If you would like to un-enroll in the Paperless W2 Program, please logon to Employee Self Service at the link above and go to the W2 Delivery Choice webpage and follow the instructions.",0.5859,0.0,0.866,0.134
"Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",0.6997,0.0,0.757,0.243
"Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",0.4404,0.0,0.9,0.1
"Dear Dr. <recipient's name removed>;

I recently read your last article and it was very useful in my field of research. I wonder, if possible, to send me these articles to use in my current research:

1- http://auth.berkeley.eduh.in/<link removed>

2- http://www.sciencedirect.com/science/article/pii/S1644966515000825(link is external)

Thanks for you Cooperation in Advance.
John Doe
Department of Civil and Environmental Engineering University of Alberta
Phone: (XXX) XXX-XXXX
--21878cacb2d3a784678d12d61f1136d7--",0.0,0.0,1.0,0.0
"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.",-0.1531,0.154,0.721,0.125
"Dear Client, Recently your account was reviewed and flagged because of a potential connection to some fraudulent transaction. To avoid an eventual restriction to your account, please verify your informations by logging in to our Litigations Manager.",-0.25,0.19,0.708,0.102
"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",0.5859,0.037,0.845,0.118
"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",0.0,0.0,1.0,0.0
"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",0.4404,0.0,0.775,0.225
"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",0.5719,0.0,0.654,0.346
"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",0.0,0.0,1.0,0.0
"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",0.3182,0.0,0.813,0.187
Some hiring stuffs for coach,0.0,0.0,1.0,0.0
call missed,-0.296,0.688,0.312,0.0
"Bank, important matter to discuss with late client who is dead. Asking for full detail information",-0.5267,0.283,0.526,0.191
"Bank, important matter to discuss with late client who is dead. Asking for full detail information",0.0,0.0,1.0,0.0
call missed,-0.296,0.688,0.312,0.0
some shred document,0.0,0.0,1.0,0.0
call missed,-0.296,0.688,0.312,0.0
"account verification, microsoft account in kent",0.0,0.0,1.0,0.0
audio,0.0,0.0,1.0,0.0
Someone lost lifr in Libyan civil war. Help kin,-0.7351,0.554,0.446,0.0
Someone lost lifr in Libyan civil war. Help kin,0.4019,0.0,0.27,0.73
shared docx,0.34,0.0,0.294,0.706
shared docx,0.34,0.0,0.294,0.706
"confirm with microsift, account",0.0,0.0,1.0,0.0
faculty evaluation,0.0,0.0,1.0,0.0
called missed,-0.296,0.688,0.312,0.0
"english speaking editor, professional guide, correcting",0.0,0.0,1.0,0.0
some pending message,0.0,0.0,1.0,0.0
selected for shadow shopper review,0.0,0.0,1.0,0.0
internal dept shared document,0.34,0.0,0.556,0.444
job opportuniies and looking for candidate,0.0,0.0,1.0,0.0
chnages in payroll information,0.0,0.0,1.0,0.0
office 465 subscription exrired and. Validation stuff,0.0,0.0,1.0,0.0
office 465 subscription exrired and. Validation stuff,0.0,0.0,1.0,0.0
office 465 subscription exrired and. Validation stuff,0.0,0.0,1.0,0.0
office 465 subscription exrired and. Validation stuff,0.0,0.0,1.0,0.0
file has been shared In docx,0.34,0.0,0.676,0.324
"politiics, legal iisues to retire , million doller to bank, profit",0.5267,0.0,0.645,0.355
notification message from faculty admin,0.0,0.0,1.0,0.0
email update required and confirm now,0.0,0.0,1.0,0.0
ms account activation and validation ,0.0,0.0,1.0,0.0
audio,0.0,0.0,1.0,0.0
made request to deactivate your account ,0.0,0.0,1.0,0.0
caller left a message for you,0.0,0.0,1.0,0.0
money for cancer diagnosied,-0.6597,0.595,0.405,0.0
"update payment  and payment declined, ",0.0,0.0,1.0,0.0
work conduct for employee in an institution,0.0,0.0,1.0,0.0
email issues from office 365,0.0,0.0,1.0,0.0
"statement of payment , transaction details and log into PayPal account  ",0.0,0.0,1.0,0.0
"I need someone to look after my pet, $350 weekly",0.0,0.0,1.0,0.0
offi e 365 was unable to deliver ,0.0,0.0,1.0,0.0
need to validate account ,0.3612,0.0,0.545,0.455
fund in office that we like to make some clarification,0.3612,0.0,0.783,0.217
email storage exceeded the limit and need to upgrade immidiately. ,0.0,0.0,1.0,0.0
doc shared,0.34,0.0,0.294,0.706
"personal assistant, employment opportunity",0.4215,0.0,0.517,0.483
need puppy sitter ,0.0,0.0,1.0,0.0
remittance advice for payment ,0.0,0.0,1.0,0.0
deal and interest in business,0.4588,0.0,0.571,0.429
shared file,0.34,0.0,0.294,0.706
payment against office 365 subscription was failed,-0.5106,0.355,0.645,0.0
payment declined for office 365,0.0,0.0,1.0,0.0
"file shared about invoices , financial",0.34,0.0,0.625,0.375
"donating, lottery winner",0.5859,0.0,0.345,0.655
email notification regarding fedaral law violation and identity and verification,-0.4939,0.262,0.738,0.0
"remail pending for database upgrade, validate emial account",0.3612,0.0,0.737,0.263
attched payment details,0.0,0.0,1.0,0.0
Project docs,0.0,0.0,1.0,0.0
"project work share, collaboration",0.296,0.0,0.577,0.423
job pet sitter,0.0,0.0,1.0,0.0
"secuirty update, recommend to validate",0.6124,0.0,0.375,0.625
office account has limited for payment failing,-0.6369,0.51,0.49,0.0
schedule payment in bank in personal checkin account,0.0,0.0,1.0,0.0
ausio attached with link,0.0,0.0,1.0,0.0
mandatory account review process,0.0772,0.0,0.698,0.302
invoiced for completed work,0.0,0.0,1.0,0.0
onedrive pending doc,0.0,0.0,1.0,0.0
verify password for login interruption,-0.3612,0.385,0.615,0.0
document sharepoint,0.0,0.0,1.0,0.0
"Due to request, you created ID, we need to validate ",0.5423,0.0,0.64,0.36
subscription offcie 365,0.0,0.0,1.0,0.0
credir card process failure,-0.5106,0.524,0.476,0.0
clain money by watching videos,0.0,0.0,1.0,0.0
shared document,0.34,0.0,0.294,0.706
doc shared,0.34,0.0,0.294,0.706
validating account,0.34,0.0,0.294,0.706
validating email account,0.34,0.0,0.455,0.545
cargo need to shio from your country to china asap,0.0,0.0,1.0,0.0
attached document for payroll,0.0,0.0,1.0,0.0
coaching service available ,0.0,0.0,1.0,0.0
doc and audio ,0.0,0.0,1.0,0.0
Document sent online,0.0,0.0,1.0,0.0
encrypted message,0.0,0.0,1.0,0.0
server detect undelivered emals. Malfucntions and termination,0.0,0.0,1.0,0.0
server detect undelivered emals. Malfucntions and termination,0.0,0.0,1.0,0.0
pdf ,0.0,0.0,1.0,0.0
"one time confirmation, avoid login interruption, password verification",-0.5719,0.439,0.561,0.0
payroll has been submitteed. ,0.0,0.0,1.0,0.0
"office365 is ready. Payment, credit card",0.3612,0.0,0.444,0.556
"office365 is ready. Payment, credit card",0.3818,0.0,0.435,0.565
microsoft password review,0.0,0.0,1.0,0.0
find attachment,0.296,0.0,0.312,0.688
coaching my son,0.0,0.0,1.0,0.0
resume attached,0.0,0.0,1.0,0.0
"federal reserve bank, record of outstanding payment with federal government, ",0.6124,0.0,0.692,0.308
new fax,0.0,0.0,1.0,0.0
message,0.0,0.0,1.0,0.0
pdf file,0.0,0.0,1.0,0.0
invoice due,0.0,0.0,1.0,0.0
"internet business, access",0.0,0.0,1.0,0.0
offcie 365 essentials is ready,0.3612,0.0,0.615,0.385
Here is the purchase order in relation to client request,0.0,0.0,1.0,0.0
Please confirm if quoting is available for statement below,0.3182,0.0,0.777,0.223
"ttrade stocks , supplement income",0.0,0.0,1.0,0.0
Your documents s can be retrieved at,0.0,0.0,1.0,0.0
ms voice audio,0.0,0.0,1.0,0.0
You have the spot reserved but we need you to complete your activation now,0.0,0.0,1.0,0.0
voice message for you,0.0,0.0,1.0,0.0
job possition apply,0.0,0.0,1.0,0.0
most of your incoming email due to your mail session expiration ,0.0,0.0,1.0,0.0
You received VM from,0.0,0.0,1.0,0.0
na,0.0,0.0,1.0,0.0
your requested username for jons.kent,0.0,0.0,1.0,0.0
account statement available,0.0,0.0,1.0,0.0
doc link,0.0,0.0,1.0,0.0
Your bank retuned the direct deposit for the payroll,0.0,0.0,1.0,0.0
link for email opning,0.0,0.0,1.0,0.0
see attached below,0.0,0.0,1.0,0.0
one drive ,0.0,0.0,1.0,0.0
looking for hiring coach,0.0,0.0,1.0,0.0
one drive message,0.0,0.0,1.0,0.0
"package, delivery address, seems incorrect",0.0,0.0,1.0,0.0
paymal money sending issue,0.0,0.0,1.0,0.0
shared document,0.34,0.0,0.294,0.706
payroll earning statement for direct deposit available,0.0,0.0,1.0,0.0
cancel surgery,-0.25,0.667,0.333,0.0
new voice ,0.0,0.0,1.0,0.0
has sent you your important document,0.2023,0.0,0.735,0.265
voicemessage notification,0.0,0.0,1.0,0.0
your document has been completed,0.0,0.0,1.0,0.0
your document has been completed,0.0,0.0,1.0,0.0
ms verification alert,0.296,0.0,0.476,0.524
your mailboc failed to sync,-0.5106,0.452,0.548,0.0
"package deposit, realiability",0.0,0.0,1.0,0.0
"earning statement, parroll website",0.0,0.0,1.0,0.0
document,0.0,0.0,1.0,0.0
email account recently signed,0.0,0.0,1.0,0.0
secure email,0.34,0.0,0.294,0.706
secure email,0.34,0.0,0.294,0.706
doc attached,0.0,0.0,1.0,0.0
message attached,0.0,0.0,1.0,0.0
refund confirmation,0.0,0.0,1.0,0.0
"one time confirmation,",0.0,0.0,1.0,0.0
voice message for you,0.0,0.0,1.0,0.0
thanks for working with us,0.4404,0.0,0.58,0.42
this is purchasing order,0.0,0.0,1.0,0.0
doc attached,0.0,0.0,1.0,0.0
email ,0.0,0.0,1.0,0.0
file,0.0,0.0,1.0,0.0
file for invoice,0.0,0.0,1.0,0.0
file,0.0,0.0,1.0,0.0
filr,0.0,0.0,1.0,0.0
are you at office,0.0,0.0,1.0,0.0
this is your information today,0.0,0.0,1.0,0.0
2 new message,0.0,0.0,1.0,0.0
your bill is here,0.0,0.0,1.0,0.0
please check your ,0.3182,0.0,0.465,0.535
"email has been reposted , regulation",0.0,0.0,1.0,0.0
request to deactivate,0.0,0.0,1.0,0.0
